@relation winequality-white-weka.filters.unsupervised.instance.RemoveDuplicates-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.InterquartileRange-Rfirst-last-O3.0-E6.0-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C13-Llast-weka.filters.unsupervised.attribute.Remove-R13-14-weka.filters.unsupervised.attribute.Remove-R10-weka.filters.unsupervised.attribute.Remove-R9-weka.filters.unsupervised.attribute.Remove-R4-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R2

@attribute volatileacidity numeric
@attribute chlorides numeric
@attribute freesulfurdioxide numeric
@attribute totalsulfurdioxide numeric
@attribute density numeric
@attribute alcohol numeric
@attribute quality {3,4,5,6,7,8,9}

@data
0.186275,0.106825,0.149826,0.37355,0.267785,0.129032,6
0.215686,0.118694,0.041812,0.285383,0.132832,0.241935,6
0.196078,0.121662,0.097561,0.204176,0.154039,0.33871,6
0.147059,0.145401,0.156794,0.410673,0.163678,0.306452,6
0.235294,0.106825,0.097561,0.294664,0.150183,0.258065,6
0.137255,0.103858,0.090592,0.278422,0.128976,0.483871,6
0.186275,0.071217,0.031359,0.12529,0.071139,0.645161,5
0.147059,0.077151,0.052265,0.232019,0.146327,0.274194,5
0.098039,0.091988,0.04878,0.153132,0.094274,0.451613,5
0.078431,0.103858,0.160279,0.310905,0.078851,0.709677,7
0.333333,0.091988,0.135889,0.37819,0.252362,0.274194,5
0.088235,0.068249,0.090592,0.238979,0.082707,0.548387,7
0.392157,0.109792,0.097561,0.208817,0.109697,0.258065,6
0.568627,0.059347,0.094077,0.153132,0.040293,0.774194,8
0.254902,0.071217,0.052265,0.37587,0.08849,0.532258,6
0.22549,0.103858,0.111498,0.287703,0.161751,0.241935,5
0.22549,0.086053,0.059233,0.215777,0.078851,0.483871,7
0.176471,0.118694,0.135889,0.262181,0.113553,0.403226,8
0.578431,0.192878,0.080139,0.36891,0.127048,0.209677,5
0.186275,0.127596,0.04878,0.308585,0.154039,0.322581,6
0.166667,0.109792,0.188153,0.547564,0.161751,0.387097,6
0.156863,0.127596,0.114983,0.317865,0.113553,0.322581,6
0.196078,0.124629,0.10453,0.306265,0.173318,0.403226,6
0.186275,0.11276,0.052265,0.285383,0.082707,0.580645,6
0.235294,0.071217,0.121951,0.243619,0.067284,0.693548,7
0.156863,0.103858,0.062718,0.308585,0.198381,0.322581,6
0.058824,0.097923,0.017422,0.088167,0.121265,0.354839,6
0.166667,0.121662,0.101045,0.211137,0.094274,0.451613,6
0.039216,0.106825,0.142857,0.25058,0.130904,0.16129,6
0.186275,0.103858,0.069686,0.394432,0.175246,0.354839,5
0.196078,0.210682,0.066202,0.264501,0.065356,0.774194,5
0.303922,0.124629,0.080139,0.324826,0.121265,0.322581,5
0.245098,0.130564,0.125436,0.299304,0.067284,0.516129,6
0.156863,0.142433,0.149826,0.324826,0.246578,0.096774,5
0.147059,0.48368,0.212544,0.345708,0.127048,0.225806,6
0.156863,0.486647,0.212544,0.343387,0.127048,0.225806,6
0.22549,0.178042,0.090592,0.350348,0.159823,0.290323,6
0.156863,0.142433,0.108014,0.331787,0.121265,0.241935,6
0.147059,0.151335,0.108014,0.336427,0.121265,0.241935,6
0.098039,0.145401,0.125436,0.366589,0.115481,0.322581,7
0.362745,0.160237,0.212544,0.457077,0.132832,0.290323,4
0.372549,0.169139,0.209059,0.459397,0.130904,0.290323,5
0.107843,0.172107,0.10453,0.327146,0.152111,0.290323,5
0.107843,0.15727,0.101045,0.38051,0.08849,0.596774,6
0.166667,0.175074,0.12892,0.266821,0.082707,0.483871,7
0.078431,0.142433,0.066202,0.169374,0.074995,0.467742,7
0.098039,0.106825,0.12892,0.229698,0.076923,0.467742,6
0.117647,0.409496,0.125436,0.285383,0.113553,0.177419,6
0.166667,0.089021,0.094077,0.422274,0.071139,0.483871,6
0.127451,0.10089,0.121951,0.473318,0.175246,0.258065,6
0.107843,0.115727,0.167247,0.320186,0.194525,0.145161,6
